Name,Phys,Str,Sls,Thr,Mag,Fire,Light,Dark,Poise,Poison,Bleed,Petrify,Curse,Dur,Weight,Scaling,Prerequisite,Reinforcement,Effect,Def/Weight,Poise/Weight,Mag/Weight,Total Magic Def,Total Defense,Total Def/Weight
Throne Defender Armor,189,181,195,189,38,42,22,38,25,26,44,0,0,100,13.8,A,,Twinkling Titanite,,13.7,1.81,2.54,140,705,51.09
Syan's Armor+10,273,246,291,279,53,70,31,53,23,31,91,0,0,85,13.8,A,,Titanite,,19.78,1.67,3.75,207,1023,74.13
Syan's Armor,137,123,146,139,26,35,15,26,23,16,45,0,0,85,13.8,A,,Titanite,,9.93,1.67,1.85,102,510,36.96
Faraam Armor+10,249,235,265,253,56,61,37,56,24,48,65,0,0,85,12.6,A,,Titanite,,19.76,1.9,4.17,210,963,76.43
Faraam Armor,124,118,133,126,28,30,18,28,24,24,33,0,0,85,12.6,A,,Titanite,,9.84,1.9,2.06,104,481,38.17
Mad Warrior Armor+5,257,257,270,245,42,40,31,42,25,53,53,49,49,75,12.5,A,,Twinkling Titanite,,20.56,2,3.1,155,927,74.16
Mad Warrior Armor,171,171,180,163,28,27,21,28,25,36,36,33,33,75,12.5,A,,Twinkling Titanite,,13.68,2,2.08,104,618,49.44
Drakeblood Armor+10,249,237,267,255,50,62,33,55,22,50,66,0,0,85,12.5,A,,Titanite,,19.92,1.76,4,200,959,76.72
Drakeblood Armor,200,190,214,204,34,42,22,37,22,34,44,0,0,85,12.5,A,,Titanite,,16,1.76,2.7,135,743,59.44
Gyrm Warrior Armor+10,258,258,269,246,37,34,30,37,26,73,56,39,36,70,12.3,A,,Titanite,,20.98,2.11,2.8,138,911,74.07
Gyrm Armor,129,129,135,123,19,17,15,19,26,36,28,19,19,70,12.3,A,,Titanite,,10.49,2.11,1.42,70,457,37.15
Gyrm Warrior Armor,129,129,135,123,19,17,15,19,26,36,28,19,19,70,12.3,A,,Titanite,,10.49,2.11,1.42,70,457,37.15
Gyrm Armor+10,258,258,269,246,37,34,30,37,26,73,56,39,39,70,12,A,,Titanite,,21.5,2.17,2.88,138,911,75.92
King's Armor+5,215,204,227,215,72,72,57,51,16.5,81,74,80,0,120,12,A,"14 STR, 12 DEX",Twinkling Titanite,,17.92,1.38,5.25,252,898,74.83
King's Armor,143,136,151,143,48,48,38,34,16.5,54,49,53,0,120,12,A,"14 STR, 12 DEX",Twinkling Titanite,,11.92,1.38,3.5,168,598,49.83
Catarina Armor+5,224,224,260,224,48,53,32,48,25,38,62,0,0,95,11.7,A,,Twinkling Titanite,,19.15,2.14,3.87,181,889,75.98
Catarina Armor,149,149,173,149,32,35,21,32,25,25,41,0,0,95,11.7,A,,Twinkling Titanite,,12.74,2.14,2.56,120,591,50.51
Elite Knight Armor+10,202,202,229,207,59,36,43,58,15,49,69,0,0,85,11.7,A,,Titanite,,17.26,1.28,4.19,196,834,71.28
Elite Knight Armor,104,101,114,104,29,32,21,29,15,24,34,0,0,85,11.7,A,,Titanite,,8.89,1.28,2.37,111,430,36.75
Royal Swordsman Armor+10,201,176,223,210,46,59,31,46,18,27,59,0,0,75,11.2,A,,Titanite,,17.95,1.61,4.06,182,791,70.63
Royal Swordsman Armor,101,88,112,105,23,29,16,23,18,13,29,0,0,75,11.2,A,,Titanite,,9.02,1.61,2.03,91,396,35.36
Throne Watcher Armor+5,209,198,225,209,91,59,47,59,16,47,56,0,0,95,11.2,A,,Twinkling Titanite,,18.66,1.43,5.71,256,888,79.29
Throne Watcher Armor,139,132,150,139,61,39,31,39,16,31,37,0,0,95,11.2,A,,Twinkling Titanite,,12.41,1.43,3.79,170,591,52.77
Heide Knight Chainmail+10,215,202,230,215,37,47,32,65,20,70,53,0,57,90,10.9,A,,Titanite,,19.72,1.83,4.15,181,828,75.96
Knight Armor+10,184,178,209,184,55,59,39,55,20,49,69,0,0,80,10.9,A,,Titanite,,16.88,1.83,4.77,208,779,71.47
Heide Knight Chainmail,108,101,115,108,18,24,16,33,20,36,27,0,28,90,10.9,A,,Titanite,,9.91,1.83,2.09,91,415,38.07
Knight Armor,92,89,104,92,27,29,20,27,20,24,34,0,0,80,10.9,A,,Titanite,,8.44,1.83,2.36,103,388,35.6
Ruin Armor+5,209,189,224,213,49,55,33,49,18,29,66,86,0,105,10.5,A,,Twinkling Titanite,,19.9,1.71,4.43,186,812,77.33
Benhart's Armor+10,208,200,216,208,48,46,41,48,18,54,42,0,0,72,10.5,A,,Titanite,,19.81,1.71,4.36,183,807,76.86
Ruin Armor,139,126,150,142,33,37,22,33,18,20,44,57,0,105,10.5,A,,Twinkling Titanite,,13.24,1.71,2.98,125,543,51.71
Benhart's Armor,104,100,108,104,24,23,21,24,18,27,21,0,0,72,10.5,A,,Titanite,,9.9,1.71,2.19,92,404,38.48
Armor of Aurous+5,183,177,192,184,65,63,45,69,18,51,65,0,0,80,10.1,A,,Twinkling Titanite,,18.12,1.78,5.99,242,795,78.71
Armor of Aurous,122,118,128,123,43,42,30,46,18,34,44,0,0,80,10.1,A,,Twinkling Titanite,,12.08,1.78,3.99,161,530,52.48
Targray's Armor+10,178,166,193,178,44,44,36,49,17,54,59,0,0,75,9.8,A,,Titanite,,18.16,1.73,4.41,173,710,72.45
Targray's Armor,89,83,96,89,22,22,18,25,17,27,30,0,0,75,9.8,A,,Titanite,,9.08,1.73,2.22,87,355,36.22
Insolent Armor+10,171,162,183,171,44,44,54,40,16,39,51,42,42,75,9.8,A,,Titanite,,17.45,1.63,4.64,182,698,71.22
Dark Armor+5,171,171,180,164,45,45,30,95,16,46,53,0,0,90,9.8,A,,Twinkling Titanite,,17.45,1.63,5.48,215,730,74.49
Dark Armor,114,114,120,109,30,30,20,64,16,31,35,0,0,90,9.8,A,,Twinkling Titanite,,11.63,1.63,3.67,144,487,49.69
Insolent Armor,85,81,91,85,22,22,27,20,16,19,26,21,21,75,9.8,A,,Titanite,,8.67,1.63,2.32,91,348,35.51
Archdrake Robes+10,178,178,178,178,57,54,93,53,13.5,48,40,0,0,80,9.8,A,,Titanite,,18.16,1.38,6.56,257,791,80.71
Archdrake Robes,89,89,89,89,28,27,47,27,13.5,24,20,0,0,80,9.8,A,,Titanite,,9.08,1.38,3.29,129,396,40.41
Creighton's Chainmail+10,180,176,187,180,54,60,31,54,14.5,42,67,0,0,70,9.7,A,,Titanite,,18.56,1.49,5.13,199,742,76.49
Creighton's Chainmail,90,88,93,90,27,30,16,27,14.5,21,34,0,0,70,9.7,A,,Titanite,,9.28,1.49,2.58,100,371,38.25
Royal Soldier Armor+10,157,149,164,160,49,50,33,49,16,42,47,0,0,70,9.2,A,,Titanite,,17.07,1.74,4.92,181,654,71.09
Royal Soldier Armor,79,74,82,80,24,25,17,24,16,21,23,0,0,70,9.2,A,,Titanite,,8.59,1.74,2.45,90,326,35.43
Alva Armor+10,179,170,185,176,49,54,37,53,15,53,69,0,0,80,8.8,A,,Titanite,,20.34,1.7,5.48,193,724,82.27
Alva Armor,89,85,92,86,25,27,19,26,15,26,35,0,0,80,8.8,A,,Titanite,,10.11,1.7,2.76,97,360,40.91
Hollow Soldier Armor+10,138,132,146,139,44,46,31,44,7,37,42,0,0,35,8.6,A,,Titanite,,16.05,0.81,4.8,165,582,67.67
Hollow Soldier Armor,69,66,73,70,22,23,15,22,7,18,21,0,0,35,8.6,A,,Titanite,,8.02,0.81,2.38,82,291,33.84
Falconer Armor+10,147,156,142,142,44,37,50,44,12,48,39,0,0,75,7.7,B,,Titanite,,19.09,1.56,5.68,175,615,79.87
Falconer Armor,77,78,71,71,22,19,25,22,12,24,19,0,0,75,7.7,B,,Titanite,,10,1.56,2.86,88,308,40
Traveling Merchant Coat+10,148,158,143,143,42,46,49,42,0,52,59,0,0,60,7.7,B,,Titanite,,19.22,0,5.81,179,623,80.91
Traveling Merchant Coat,74,79,72,72,21,23,25,21,0,26,29,0,0,60,7.7,B,,Titanite,,9.61,0,2.92,90,313,40.65
Hard Leather Armor+10,135,141,132,133,42,28,53,44,0,52,47,0,0,65,7.2,B,,Titanite,,18.75,0,5.8,167,573,79.58
Hard Leather Armor,68,71,66,67,21,14,26,22,0,26,24,0,0,65,7.2,B,,Titanite,,9.44,0,2.88,83,287,39.86
Llewellyn Armor+5,180,167,186,182,58,69,44,58,0,59,82,33,33,85,6.8,B,,Twinkling Titanite,,26.47,0,8.42,229,764,112.35
Llewellyn Armor,120,112,124,121,38,46,29,38,0,39,55,22,22,85,6.8,B,,Twinkling Titanite,,17.65,0,5.55,151,508,74.71
Executioner Armor+5,140,128,148,144,32,34,22,75,7.5,25,95,0,67,65,6.7,B,,Twinkling Titanite,,20.9,1.12,6.08,163,583,87.01
Executioner Armor,93,85,99,96,21,23,15,50,7.5,17,64,0,45,65,6.7,B,,Twinkling Titanite,,13.88,1.12,4.07,109,389,58.06
Imported Tunic+10,95,105,90,90,28,24,33,28,0,34,38,0,0,35,6.5,B,,Titanite,,14.62,0,4.35,113,398,61.23
Imported Tunic,47,53,45,45,14,12,17,14,0,17,19,0,0,35,6.5,B,,Titanite,,7.23,0,2.19,57,200,30.77
Bandit Armor+10,133,133,137,128,40,41,33,40,5,29,42,0,0,60,6.2,B,,Titanite,,21.45,0.81,6.21,154,552,89.03
Bandit Armor,67,66,69,64,20,21,17,20,5,14,21,0,0,60,6.2,B,,Titanite,,10.81,0.81,3.15,78,277,44.68
Penal Straighjacket+5,113,116,116,105,47,58,42,52,0,18,14,37,48,55,6.2,B,,Twinkling Titanite,,18.23,0,8.02,199,536,86.45
Penal Straighjacket,75,77,77,70,31,39,28,35,0,12,9,25,32,55,6.2,B,,Twinkling Titanite,,12.1,0,5.36,133,357,57.58
Grave Warden Top+10,158,172,152,152,69,66,84,89,0,85,69,0,0,60,6,B,,Titanite,,26.33,0,12.83,308,784,130.67
Lucatiel's Vest+10,153,164,147,147,84,75,91,84,0,65,51,27,54,65,6,B,,Titanite,,25.5,0,13.92,334,792,132
Bell Keeper Bellyband+10,131,138,128,128,28,26,37,50,0,32,26,0,0,60,6,B,,Titanite,,21.83,0,5.88,141,535,89.17
Grave Warden Top,79,86,76,76,35,33,42,45,0,42,34,0,0,60,6,B,,Titanite,,13.17,0,6.46,155,393,65.5
Lucatiel's Vest,76,82,74,74,42,37,46,42,0,33,26,14,27,65,6,B,,Titanite,,12.67,0,6.96,167,397,66.17
Bell Keeper Bellyband,66,69,64,64,14,13,19,25,0,16,13,0,0,60,6,B,,Titanite,,11,0,2.96,71,268,44.67
Pate's Armor+10,130,135,127,127,42,28,53,44,0,46,41,0,0,70,5.9,B,,Titanite,,22.03,0,7.08,167,556,94.24
Infantry Armor+10,113,118,111,111,28,26,36,28,0,29,29,0,0,55,5.9,B,,Titanite,,19.15,0,5,118,458,77.63
Hollow Infantry Armor+10,91,94,90,90,20,10,24,20,0,20,20,0,0,40,5.9,B,,Titanite,,15.42,0,3.14,74,348,58.98
Pate's Armor,65,67,63,63,21,14,26,22,0,23,21,0,0,70,5.9,B,,Titanite,,11.02,0,3.52,83,276,46.78
Infantry Armor,57,59,55,55,14,13,18,14,0,15,15,0,0,55,5.9,B,,Titanite,,9.66,0,2.5,59,228,38.64
Hollow Infantry Armor,46,47,45,45,10,8,12,10,0,10,10,0,0,40,5.9,B,,Titanite,,7.8,0,1.69,40,177,30
Agdayne's Black Robe+5,139,147,135,135,81,79,72,108,0,83,57,72,98,65,5.8,B,,Twinkling Titanite,,23.97,0,14.66,340,757,130.52
Agdayne's Black Robe,93,98,90,90,54,52,48,72,0,55,38,48,65,65,5.8,B,,Twinkling Titanite,,16.03,0,9.74,226,504,86.9
Jester's Robes+10,131,139,127,127,74,74,74,74,0,80,60,77,52,45,5.7,B,14 DEX,Titanite,Nulify Critical Hits,22.98,0,12.98,296,689,120.88
Jester's Robes,66,70,63,63,37,37,37,37,0,40,30,39,26,45,5.7,B,14 DEX,Titanite,Nulify Critical Hits,11.58,0,6.49,148,344,60.35
Varangian Armor+10,135,142,132,132,43,31,51,43,0,52,47,0,0,55,5.1,B,,Titanite,,26.47,0,8.24,168,574,112.55
Astrologist's Robes+10,121,126,117,117,87,60,60,74,0,38,37,0,0,50,5.1,B,,Titanite,,23.73,0,13.77,281,641,125.69
Varangian Armor,67,71,66,66,22,16,25,22,0,26,23,0,0,55,5.1,B,,Titanite,,13.14,0,4.17,85,288,56.47
Astrologist's Robes,60,63,58,58,44,30,30,37,0,19,19,0,0,50,5.1,B,,Titanite,,11.76,0,6.91,141,320,62.75
Black Witch Robe+5,120,132,116,116,135,108,126,131,0,49,58,65,66,55,4.8,B,,Twinkling Titanite,,25,0,26.04,500,864,180
Black Witch Robe,86,95,83,83,97,78,90,94,0,35,42,47,47,55,4.8,B,,Twinkling Titanite,,17.92,0,18.7,359,620,129.17
Leather Armor+10,130,138,126,126,47,30,62,51,0,53,44,0,0,60,4.7,B,,Titanite,,27.66,0,10.11,190,580,123.4
Fume Sorcerer Robes+10,128,136,124,124,45,33,61,63,0,55,45,0,0,60,4.7,B,,Titanite,,27.23,0,10.74,202,586,124.68
Fume Sorcerer Robes,103,109,100,100,30,22,41,42,0,37,30,0,0,60,4.7,B,,Titanite,,21.91,0,7.18,135,444,94.47
Leather Armor,65,69,63,63,24,15,31,26,0,26,22,0,0,60,4.7,B,,Titanite,,13.83,0,5.11,96,291,61.91
Black Leather Armor+10,131,135,128,128,62,47,45,51,0,75,51,0,0,55,3.9,B,,Titanite,,33.59,0,13.14,205,596,152.82
Dragon Acolyte Robe+10,118,124,115,115,48,48,56,60,0,55,45,0,54,55,3.9,B,,Titanite,,30.26,0,13.59,212,566,145.13
Robe of Judgment+5,115,123,111,111,59,48,41,52,0,31,33,0,64,50,3.9,B,,Twinkling Titanite,,29.49,0,12.82,200,545,139.74
Robe of Judgment,77,82,74,74,39,32,27,35,0,21,22,0,43,50,3.9,B,,Twinkling Titanite,,19.74,0,8.53,133,363,93.08
Xanthous Overcoat+5,78,89,78,67,59,15,37,46,0,35,31,0,0,60,3.9,B,,Twinkling Titanite,,20,0,10.06,157,391,100.26
Black Leather Armor,65,68,64,64,31,24,23,26,0,38,26,0,0,55,3.9,B,,Titanite,,16.67,0,6.67,104,300,76.92
Dragon Acolyte Robe,59,62,57,57,24,24,28,30,0,27,23,0,27,55,3.9,B,,Titanite,,15.13,0,6.79,106,282,72.31
Xanthous Overcoat,52,60,52,45,39,10,25,30,0,23,21,0,0,60,3.9,B,,Twinkling Titanite,,13.33,0,6.67,104,261,66.92
Bone King Armor+5,106,116,102,102,68,75,61,94,0,55,35,42,67,65,3.8,B,,Twinkling Titanite,,27.89,0,19.61,298,618,162.63
Peasant Attire+10,50,55,48,48,23,25,31,23,0,36,29,0,0,45,3.8,B,,Titanite,,13.16,0,6.71,102,253,66.58
Peasant Attire,25,28,24,24,12,13,16,11,0,18,15,0,0,45,3.8,B,,Titanite,,6.58,0,3.42,52,128,33.68
Wanderer Coat+10,115,111,117,118,38,50,56,40,0,43,70,0,0,50,3.5,B,,Titanite,,32.86,0,13.14,184,530,151.43
Rogue Armor+10,111,108,113,113,35,42,40,47,0,42,40,0,0,55,3.5,B,,Titanite,,31.71,0,11.71,164,498,142.29
Leydia Black Robe+5,105,116,100,100,72,50,43,95,0,53,50,40,64,50,3.5,B,,Twinkling Titanite,,30,0,18.57,260,576,164.57
Leydia White Robe+10,96,106,92,92,64,64,54,82,0,46,43,35,55,50,3.5,B,,Titanite,,27.43,0,18.86,264,554,158.29
Nahr Alma Robes+10,89,95,87,87,49,42,46,88,0,44,44,57,57,50,3.5,B,,Titanite,Aquired Souls +,25.43,0,16.07,225,494,141.14
Bone King Armor,71,77,68,68,45,50,41,63,0,36,23,28,45,65,3.5,B,,Twinkling Titanite,,20.29,0,14.21,199,412,117.71
Leydia Black Robe,70,77,66,66,48,33,29,63,0,35,33,27,43,50,3.5,B,,Twinkling Titanite,,20,0,12.36,173,382,109.14
Wanderer Coat,58,56,58,59,19,25,28,20,0,22,35,0,0,50,3.5,B,,Titanite,,16.57,0,6.57,92,265,75.71
Rogue Armor,56,54,56,56,18,21,20,24,0,21,20,0,0,55,3.5,B,,Titanite,,16,0,5.93,83,249,71.14
Leydia White Robe,48,53,46,46,32,32,27,41,0,23,21,18,28,50,3.5,B,,Titanite,,13.71,0,9.43,132,277,79.14
Nahr Alma Robes,44,47,43,43,25,21,23,44,0,22,22,29,29,50,3.5,B,,Titanite,Aquired Souls +,12.57,0,8.07,113,246,70.29
Black Hollow Mage Robe+10,110,117,109,109,94,67,72,79,0,46,42,43,43,50,3.3,B,,Titanite,INT +1,33.33,0,23.64,312,647,196.06
White Priest Robe+10,111,116,108,108,66,66,86,73,0,45,43,42,42,50,3.3,B,,Titanite,,33.64,0,22.05,291,623,188.79
Black Hollow Mage Robe,55,58,54,54,47,33,36,39,0,23,21,22,22,50,3.3,B,,Titanite,INT +1,16.67,0,11.74,155,321,97.27
White Priest Robe,55,58,54,54,33,33,43,37,0,23,21,21,21,50,3.3,B,,Titanite,,16.67,0,11.06,146,312,94.55
Armor of Aurous (Transparent)+5,115,123,109,111,45,37,48,41,0,31,36,0,0,40,3.2,B,,Twinkling Titanite,Raises Equipment Load,35.94,0,13.36,171,514,160.63
Armor of Aurous (Transparent),76,82,72,74,30,25,32,28,0,20,24,0,0,40,3.2,B,,Twinkling Titanite,Raises Equipment Load,23.75,0,8.98,115,343,107.19
Bringand Armor+10,113,124,111,105,56,45,42,48,0,46,46,0,0,60,3.1,B,,Titanite,,36.45,0,15.4,191,531,171.29
Bringand Armor,57,62,56,53,28,22,21,24,0,23,23,0,0,60,3.1,B,,Titanite,,18.39,0,7.66,95,266,85.81
Dingy Robe+10,108,122,101,101,65,55,62,62,0,41,46,92,92,40,3,B,,Titanite,,36,0,20.33,244,568,189.33
Cale's Leather Armor+10,78,77,77,80,22,23,19,22,0,34,21,0,0,60,3,B,,Titanite,,26,0,7.17,86,320,106.67
Dingy Robe,54,61,51,51,33,27,31,31,0,20,23,46,46,40,3,B,,Titanite,,18,0,10.17,122,285,95
Tseldora Robe+10,44,48,42,42,20,21,26,19,0,20,21,0,0,40,3,B,,Titanite,Aquired Souls +,14.67,0,7.17,86,218,72.67
Cale's Leather Armor,39,38,38,40,11,12,9,11,0,17,11,0,0,60,3,B,,Titanite,,13,0,3.58,43,159,53
Tseldora Robe,22,24,21,21,10,11,13,9,0,10,11,0,0,40,3,B,,Titanite,Aquired Souls +,7.33,0,3.58,43,109,36.33
Priestess Robe+10,106,110,104,104,66,65,91,73,0,44,42,52,52,50,2.8,B,,Titanite,,37.86,0,26.34,295,613,218.93
White Hollow Mage Robe+10,105,109,102,102,88,63,66,73,0,41,39,60,60,50,2.8,B,,Titanite,,37.5,0,25.89,290,603,215.36
Priestess Robe,53,55,52,52,33,33,46,37,0,22,21,26,26,50,2.8,B,,Titanite,,18.93,0,13.3,149,308,110
White Hollow Mage Robe,52,54,51,51,44,32,33,37,0,21,19,30,30,50,2.8,B,,Titanite,,18.57,0,13.04,146,302,107.86
Tattered Cloth Robe+10,100,105,97,97,53,72,47,53,0,87,30,0,19,55,2.7,B,,Titanite,,37.04,0,20.83,225,524,194.07
Desert Sorceress Top+10,89,93,87,87,83,57,69,75,0,32,21,58,27,50,2.7,B,,Titanite,,32.96,0,26.3,284,551,204.07
Tattered Cloth Robe,50,53,48,48,26,36,24,26,0,43,15,0,10,55,2.7,B,,Titanite,,18.52,0,10.37,112,261,96.67
Desert Sorceress Top,45,47,43,43,42,29,35,38,0,16,11,29,14,50,2.7,B,,Titanite,,16.67,0,13.33,144,277,102.59
Black Robes+5,101,108,96,96,110,74,74,74,0,45,39,58,53,55,2.6,B,16 INT,Twinkling Titanite,,38.85,0,31.92,332,632,243.08
Chaos Robe+5,101,108,96,96,74,110,74,106,0,45,39,58,53,55,2.6,B,"16 INT, 16 FTH",Twinkling Titanite,,38.85,0,35,364,664,255.38
Hexer's Robes+5,101,108,96,96,74,110,74,74,0,45,39,58,53,22,2.6,B,,Twinkling Titanite,,38.85,0,31.92,332,632,243.08
Saint's Dress+5,101,108,96,96,74,74,91,74,0,45,39,86,79,55,2.6,B,16 FTH,Twinkling Titanite,,38.85,0,30.1,313,613,235.77
Shadow Top+10,97,109,87,87,52,59,54,70,0,77,60,49,0,60,2.6,B,,Titanite,,37.31,0,22.6,235,518,199.23
Black Robes,67,72,64,64,73,49,49,49,0,30,26,39,35,55,2.6,B,16 INT,Twinkling Titanite,,25.77,0,21.15,220,420,161.54
Chaos Robe,67,72,64,64,49,73,49,71,0,30,26,39,35,55,2.6,B,"16 INT, 16 FTH",Twinkling Titanite,,25.77,0,23.27,242,442,170
Hexer's Robes,67,72,64,64,49,73,49,49,0,30,26,39,35,55,2.6,B,,Twinkling Titanite,,25.77,0,21.15,220,420,161.54
Saint's Dress,67,72,64,64,49,49,61,49,0,30,26,57,53,55,2.6,B,16 FTH,Twinkling Titanite,,25.77,0,20,208,408,156.92
Shadow Top,48,55,43,43,26,29,27,35,0,39,30,25,0,60,2.6,B,,Titanite,,18.46,0,11.25,117,258,99.23
Singer's Dress+5,45,49,43,43,68,53,62,62,0,47,35,65,65,40,2.6,B,,Twinkling Titanite,,17.31,0,23.56,245,380,146.15
Singer's Dress,30,33,29,29,45,35,41,41,0,31,23,43,43,40,2.6,B,,Twinkling Titanite,,11.54,0,15.58,162,253,97.31
Manikin Top+10,92,97,88,88,47,44,55,57,0,54,75,24,0,65,2.3,B,,Titanite,,40,0,22.07,203,476,206.96
Manikin Top,46,49,44,44,23,22,28,29,0,27,36,12,0,65,2.3,B,,Titanite,,20,0,11.09,102,239,103.91
